A,B,C,D,E,F,G
1.5,0.94,1.0,0.96,0.98,0.95,0.97
1.51,0.88,1.0,0.93,0.95,0.97,0.95
1.52,0.93,1.0,0.96,0.93,0.94,0.89
1.53,0.87,1.0,0.94,0.97,0.94,0.93
1.54,0.89,1.0,0.98,0.96,0.94,0.94
1.55,0.91,1.0,0.92,0.97,0.97,0.96
1.56,0.95,1.0,0.9,0.97,0.98,0.97
1.57,0.84,1.0,0.89,0.96,0.95,0.97
1.58,0.89,1.0,0.97,0.98,0.96,0.96
1.59,0.86,1.0,0.96,0.92,0.94,0.94
1.6,0.88,1.0,0.97,0.96,0.96,0.96
1.61,0.86,1.0,0.94,0.98,0.97,0.94
1.62,0.91,1.0,0.92,0.99,0.97,0.97
1.63,0.91,1.0,0.94,0.95,0.98,0.93
1.64,0.88,1.0,0.92,0.98,0.91,0.94
1.65,0.83,1.0,0.95,0.95,0.96,0.93
1.66,0.82,1.0,0.92,0.95,0.96,0.94
1.67,0.84,1.0,0.93,0.94,0.97,0.98
